"","Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","residuals","fitted"
"1",5.1,3.5,1.4,0.2,"setosa",-0.129546131874884,1.52954613187488
"2",4.9,3,1.4,0.2,"setosa",-0.129546131874872,1.52954613187487
"3",4.7,3.2,1.3,0.2,"setosa",-0.229546131874885,1.52954613187488
"4",4.6,3.1,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"5",5,3.6,1.4,0.2,"setosa",-0.129546131874885,1.52954613187489
"6",5.4,3.9,1.7,0.4,"setosa",-0.275534230899258,1.97553423089926
"7",4.6,3.4,1.4,0.3,"setosa",-0.352540181387072,1.75254018138707
"8",5,3.4,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"9",4.4,2.9,1.4,0.2,"setosa",-0.129546131874885,1.52954613187489
"10",4.9,3.1,1.5,0.1,"setosa",0.193447917637301,1.3065520823627
"11",5.4,3.7,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"12",4.8,3.4,1.6,0.2,"setosa",0.070453868125115,1.52954613187489
"13",4.8,3,1.4,0.1,"setosa",0.0934479176373006,1.3065520823627
"14",4.3,3,1.1,0.1,"setosa",-0.206552082362699,1.3065520823627
"15",5.8,4,1.2,0.2,"setosa",-0.329546131874885,1.52954613187489
"16",5.7,4.4,1.5,0.4,"setosa",-0.475534230899258,1.97553423089926
"17",5.4,3.9,1.3,0.4,"setosa",-0.675534230899258,1.97553423089926
"18",5.1,3.5,1.4,0.3,"setosa",-0.352540181387072,1.75254018138707
"19",5.7,3.8,1.7,0.3,"setosa",-0.0525401813870718,1.75254018138707
"20",5.1,3.8,1.5,0.3,"setosa",-0.252540181387072,1.75254018138707
"21",5.4,3.4,1.7,0.2,"setosa",0.170453868125115,1.52954613187489
"22",5.1,3.7,1.5,0.4,"setosa",-0.475534230899258,1.97553423089926
"23",4.6,3.6,1,0.2,"setosa",-0.529546131874885,1.52954613187489
"24",5.1,3.3,1.7,0.5,"setosa",-0.498528280411444,2.19852828041144
"25",4.8,3.4,1.9,0.2,"setosa",0.370453868125115,1.52954613187489
"26",5,3,1.6,0.2,"setosa",0.070453868125115,1.52954613187489
"27",5,3.4,1.6,0.4,"setosa",-0.375534230899258,1.97553423089926
"28",5.2,3.5,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"29",5.2,3.4,1.4,0.2,"setosa",-0.129546131874885,1.52954613187489
"30",4.7,3.2,1.6,0.2,"setosa",0.070453868125115,1.52954613187489
"31",4.8,3.1,1.6,0.2,"setosa",0.070453868125115,1.52954613187489
"32",5.4,3.4,1.5,0.4,"setosa",-0.475534230899258,1.97553423089926
"33",5.2,4.1,1.5,0.1,"setosa",0.193447917637301,1.3065520823627
"34",5.5,4.2,1.4,0.2,"setosa",-0.129546131874885,1.52954613187489
"35",4.9,3.1,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"36",5,3.2,1.2,0.2,"setosa",-0.329546131874885,1.52954613187489
"37",5.5,3.5,1.3,0.2,"setosa",-0.229546131874885,1.52954613187488
"38",4.9,3.6,1.4,0.1,"setosa",0.0934479176373006,1.3065520823627
"39",4.4,3,1.3,0.2,"setosa",-0.229546131874885,1.52954613187488
"40",5.1,3.4,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"41",5,3.5,1.3,0.3,"setosa",-0.452540181387072,1.75254018138707
"42",4.5,2.3,1.3,0.3,"setosa",-0.452540181387072,1.75254018138707
"43",4.4,3.2,1.3,0.2,"setosa",-0.229546131874885,1.52954613187488
"44",5,3.5,1.6,0.6,"setosa",-0.82152232992363,2.42152232992363
"45",5.1,3.8,1.9,0.4,"setosa",-0.0755342308992581,1.97553423089926
"46",4.8,3,1.4,0.3,"setosa",-0.352540181387072,1.75254018138707
"47",5.1,3.8,1.6,0.2,"setosa",0.070453868125115,1.52954613187489
"48",4.6,3.2,1.4,0.2,"setosa",-0.129546131874885,1.52954613187489
"49",5.3,3.7,1.5,0.2,"setosa",-0.0295461318748851,1.52954613187489
"50",5,3.3,1.4,0.2,"setosa",-0.129546131874885,1.52954613187489
"51",7,3.2,4.7,1.4,"versicolor",0.49452527397888,4.20547472602112
"52",6.4,3.2,4.5,1.5,"versicolor",0.0715312244666932,4.42846877553331
"53",6.9,3.1,4.9,1.5,"versicolor",0.471531224466693,4.42846877553331
"54",5.5,2.3,4,1.3,"versicolor",0.0175193234910656,3.98248067650893
"55",6.5,2.8,4.6,1.5,"versicolor",0.171531224466693,4.42846877553331
"56",5.7,2.8,4.5,1.3,"versicolor",0.517519323491066,3.98248067650893
"57",6.3,3.3,4.7,1.6,"versicolor",0.0485371749545069,4.65146282504549
"58",4.9,2.4,3.3,1,"versicolor",-0.0134985279723756,3.31349852797238
"59",6.6,2.9,4.6,1.3,"versicolor",0.617519323491065,3.98248067650893
"60",5.2,2.7,3.9,1.4,"versicolor",-0.30547472602112,4.20547472602112
"61",5,2,3.5,1,"versicolor",0.186501472027625,3.31349852797238
"62",5.9,3,4.2,1.5,"versicolor",-0.228468775533307,4.42846877553331
"63",6,2.2,4,1,"versicolor",0.686501472027624,3.31349852797238
"64",6.1,2.9,4.7,1.4,"versicolor",0.49452527397888,4.20547472602112
"65",5.6,2.9,3.6,1.3,"versicolor",-0.382480676508934,3.98248067650893
"66",6.7,3.1,4.4,1.4,"versicolor",0.19452527397888,4.20547472602112
"67",5.6,3,4.5,1.5,"versicolor",0.0715312244666932,4.42846877553331
"68",5.8,2.7,4.1,1,"versicolor",0.786501472027624,3.31349852797238
"69",6.2,2.2,4.5,1.5,"versicolor",0.0715312244666932,4.42846877553331
"70",5.6,2.5,3.9,1.1,"versicolor",0.363507422515438,3.53649257748456
"71",5.9,3.2,4.8,1.8,"versicolor",-0.297450924069866,5.09745092406987
"72",6.1,2.8,4,1.3,"versicolor",0.0175193234910656,3.98248067650893
"73",6.3,2.5,4.9,1.5,"versicolor",0.471531224466693,4.42846877553331
"74",6.1,2.8,4.7,1.2,"versicolor",0.940513373003252,3.75948662699675
"75",6.4,2.9,4.3,1.3,"versicolor",0.317519323491065,3.98248067650893
"76",6.6,3,4.4,1.4,"versicolor",0.19452527397888,4.20547472602112
"77",6.8,2.8,4.8,1.4,"versicolor",0.594525273978879,4.20547472602112
"78",6.7,3,5,1.7,"versicolor",0.125543125442321,4.87445687455768
"79",6,2.9,4.5,1.5,"versicolor",0.0715312244666932,4.42846877553331
"80",5.7,2.6,3.5,1,"versicolor",0.186501472027625,3.31349852797238
"81",5.5,2.4,3.8,1.1,"versicolor",0.263507422515438,3.53649257748456
"82",5.5,2.4,3.7,1,"versicolor",0.386501472027625,3.31349852797238
"83",5.8,2.7,3.9,1.2,"versicolor",0.140513373003252,3.75948662699675
"84",6,2.7,5.1,1.6,"versicolor",0.448537174954506,4.65146282504549
"85",5.4,3,4.5,1.5,"versicolor",0.0715312244666932,4.42846877553331
"86",6,3.4,4.5,1.6,"versicolor",-0.151462825045493,4.65146282504549
"87",6.7,3.1,4.7,1.5,"versicolor",0.271531224466693,4.42846877553331
"88",6.3,2.3,4.4,1.3,"versicolor",0.417519323491066,3.98248067650893
"89",5.6,3,4.1,1.3,"versicolor",0.117519323491065,3.98248067650893
"90",5.5,2.5,4,1.3,"versicolor",0.0175193234910656,3.98248067650893
"91",5.5,2.6,4.4,1.2,"versicolor",0.640513373003252,3.75948662699675
"92",6.1,3,4.6,1.4,"versicolor",0.394525273978879,4.20547472602112
"93",5.8,2.6,4,1.2,"versicolor",0.240513373003252,3.75948662699675
"94",5,2.3,3.3,1,"versicolor",-0.0134985279723756,3.31349852797238
"95",5.6,2.7,4.2,1.3,"versicolor",0.217519323491066,3.98248067650893
"96",5.7,3,4.2,1.2,"versicolor",0.440513373003252,3.75948662699675
"97",5.7,2.9,4.2,1.3,"versicolor",0.217519323491066,3.98248067650893
"98",6.2,2.9,4.3,1.3,"versicolor",0.317519323491065,3.98248067650893
"99",5.1,2.5,3,1.1,"versicolor",-0.536492577484562,3.53649257748456
"100",5.7,2.8,4.1,1.3,"versicolor",0.117519323491065,3.98248067650893
"101",6.3,3.3,6,2.5,"virginica",-0.65840927065517,6.65840927065517
"102",5.8,2.7,5.1,1.9,"virginica",-0.220444973582052,5.32044497358205
"103",7.1,3,5.9,2.1,"virginica",0.133566927393576,5.76643307260643
"104",6.3,2.9,5.6,1.8,"virginica",0.502549075930134,5.09745092406987
"105",6.5,3,5.8,2.2,"virginica",-0.189427122118611,5.98942712211861
"106",7.6,3,6.6,2.1,"virginica",0.833566927393575,5.76643307260643
"107",4.9,2.5,4.5,1.7,"virginica",-0.374456874557679,4.87445687455768
"108",7.3,2.9,6.3,1.8,"virginica",1.20254907593013,5.09745092406987
"109",6.7,2.5,5.8,1.8,"virginica",0.702549075930134,5.09745092406987
"110",7.2,3.6,6.1,2.5,"virginica",-0.55840927065517,6.65840927065517
"111",6.5,3.2,5.1,2,"virginica",-0.443439023094238,5.54343902309424
"112",6.4,2.7,5.3,1.9,"virginica",-0.0204449735820519,5.32044497358205
"113",6.8,3,5.5,2.1,"virginica",-0.266433072606425,5.76643307260643
"114",5.7,2.5,5,2,"virginica",-0.543439023094238,5.54343902309424
"115",5.8,2.8,5.1,2.4,"virginica",-1.33541522114298,6.43541522114298
"116",6.4,3.2,5.3,2.3,"virginica",-0.912421171630797,6.2124211716308
"117",6.5,3,5.5,1.8,"virginica",0.402549075930134,5.09745092406987
"118",7.7,3.8,6.7,2.2,"virginica",0.710572877881389,5.98942712211861
"119",7.7,2.6,6.9,2.3,"virginica",0.687578828369204,6.2124211716308
"120",6,2.2,5,1.5,"virginica",0.571531224466693,4.42846877553331
"121",6.9,3.2,5.7,2.3,"virginica",-0.512421171630796,6.2124211716308
"122",5.6,2.8,4.9,2,"virginica",-0.643439023094238,5.54343902309424
"123",7.7,2.8,6.7,2,"virginica",1.15656097690576,5.54343902309424
"124",6.3,2.7,4.9,1.8,"virginica",-0.197450924069866,5.09745092406987
"125",6.7,3.3,5.7,2.1,"virginica",-0.0664330726064244,5.76643307260643
"126",7.2,3.2,6,1.8,"virginica",0.902549075930134,5.09745092406987
"127",6.2,2.8,4.8,1.8,"virginica",-0.297450924069866,5.09745092406987
"128",6.1,3,4.9,1.8,"virginica",-0.197450924069866,5.09745092406987
"129",6.4,2.8,5.6,2.1,"virginica",-0.166433072606425,5.76643307260643
"130",7.2,3,5.8,1.6,"virginica",1.14853717495451,4.65146282504549
"131",7.4,2.8,6.1,1.9,"virginica",0.779555026417948,5.32044497358205
"132",7.9,3.8,6.4,2,"virginica",0.856560976905762,5.54343902309424
"133",6.4,2.8,5.6,2.2,"virginica",-0.389427122118612,5.98942712211861
"134",6.3,2.8,5.1,1.5,"virginica",0.671531224466693,4.42846877553331
"135",6.1,2.6,5.6,1.4,"virginica",1.39452527397888,4.20547472602112
"136",7.7,3,6.1,2.3,"virginica",-0.112421171630797,6.2124211716308
"137",6.3,3.4,5.6,2.4,"virginica",-0.835415221142983,6.43541522114298
"138",6.4,3.1,5.5,1.8,"virginica",0.402549075930134,5.09745092406987
"139",6,3,4.8,1.8,"virginica",-0.297450924069866,5.09745092406987
"140",6.9,3.1,5.4,2.1,"virginica",-0.366433072606424,5.76643307260643
"141",6.7,3.1,5.6,2.4,"virginica",-0.835415221142983,6.43541522114298
"142",6.9,3.1,5.1,2.3,"virginica",-1.1124211716308,6.2124211716308
"143",5.8,2.7,5.1,1.9,"virginica",-0.220444973582052,5.32044497358205
"144",6.8,3.2,5.9,2.3,"virginica",-0.312421171630796,6.2124211716308
"145",6.7,3.3,5.7,2.5,"virginica",-0.958409270655169,6.65840927065517
"146",6.7,3,5.2,2.3,"virginica",-1.0124211716308,6.2124211716308
"147",6.3,2.5,5,1.9,"virginica",-0.320444973582052,5.32044497358205
"148",6.5,3,5.2,2,"virginica",-0.343439023094238,5.54343902309424
"149",6.2,3.4,5.4,2.3,"virginica",-0.812421171630796,6.2124211716308
"150",5.9,3,5.1,1.8,"virginica",0.00254907593013371,5.09745092406987
