Country,Region,Population,Area_sq_miles,pop_density,coast_area_ratio
Afghanistan ,ASIA (EX. NEAR EAST)         ,31056997,647500,48.0,0.00
Albania ,EASTERN EUROPE                     ,3581655,28748,124.6,1.26
Algeria ,NORTHERN AFRICA                    ,32930091,2381740,13.8,0.04
American Samoa ,OCEANIA                            ,57794,199,290.4,58.29
Andorra ,WESTERN EUROPE                     ,71201,468,152.1,0.00
Angola ,SUB-SAHARAN AFRICA                 ,12127071,1246700,9.7,0.13
Anguilla ,LATIN AMER. & CARIB    ,13477,102,132.1,59.80
Antigua & Barbuda ,LATIN AMER. & CARIB    ,69108,443,156.0,34.54
Argentina ,LATIN AMER. & CARIB    ,39921833,2766890,14.4,0.18
Armenia ,C.W. OF IND. STATES ,2976372,29800,99.9,0.00
Aruba ,LATIN AMER. & CARIB    ,71891,193,372.5,35.49
Australia ,OCEANIA                            ,20264082,7686850,2.6,0.34
Austria ,WESTERN EUROPE                     ,8192880,83870,97.7,0.00
Azerbaijan ,C.W. OF IND. STATES ,7961619,86600,91.9,0.00
"Bahamas, The ",LATIN AMER. & CARIB    ,303770,13940,21.8,25.41
Bahrain ,NEAR EAST                          ,698585,665,1050.5,24.21
Bangladesh ,ASIA (EX. NEAR EAST)         ,147365352,144000,1023.4,0.40
Barbados ,LATIN AMER. & CARIB    ,279912,431,649.5,22.51
Belarus ,C.W. OF IND. STATES ,10293011,207600,49.6,0.00
Belgium ,WESTERN EUROPE                     ,10379067,30528,340.0,0.22
Belize ,LATIN AMER. & CARIB    ,287730,22966,12.5,1.68
Benin ,SUB-SAHARAN AFRICA                 ,7862944,112620,69.8,0.11
Bermuda ,NORTHERN AMERICA                   ,65773,53,1241.0,194.34
Bhutan ,ASIA (EX. NEAR EAST)         ,2279723,47000,48.5,0.00
Bolivia ,LATIN AMER. & CARIB    ,8989046,1098580,8.2,0.00
Bosnia & Herzegovina ,EASTERN EUROPE                     ,4498976,51129,88.0,0.04
Botswana ,SUB-SAHARAN AFRICA                 ,1639833,600370,2.7,0.00
Brazil ,LATIN AMER. & CARIB    ,188078227,8511965,22.1,0.09
British Virgin Is. ,LATIN AMER. & CARIB    ,23098,153,151.0,52.29
Brunei ,ASIA (EX. NEAR EAST)         ,379444,5770,65.8,2.79
Bulgaria ,EASTERN EUROPE                     ,7385367,110910,66.6,0.32
Burkina Faso ,SUB-SAHARAN AFRICA                 ,13902972,274200,50.7,0.00
Burma ,ASIA (EX. NEAR EAST)         ,47382633,678500,69.8,0.28
Burundi ,SUB-SAHARAN AFRICA                 ,8090068,27830,290.7,0.00
Cambodia ,ASIA (EX. NEAR EAST)         ,13881427,181040,76.7,0.24
Cameroon ,SUB-SAHARAN AFRICA                 ,17340702,475440,36.5,0.08
Canada ,NORTHERN AMERICA                   ,33098932,9984670,3.3,2.02
Cape Verde ,SUB-SAHARAN AFRICA                 ,420979,4033,104.4,23.93
Cayman Islands ,LATIN AMER. & CARIB    ,45436,262,173.4,61.07
Central African Rep. ,SUB-SAHARAN AFRICA                 ,4303356,622984,6.9,0.00
Chad ,SUB-SAHARAN AFRICA                 ,9944201,1284000,7.7,0.00
Chile ,LATIN AMER. & CARIB    ,16134219,756950,21.3,0.85
China ,ASIA (EX. NEAR EAST)         ,1313973713,9596960,136.9,0.15
Colombia ,LATIN AMER. & CARIB    ,43593035,1138910,38.3,0.28
Comoros ,SUB-SAHARAN AFRICA                 ,690948,2170,318.4,15.67
"Congo, Dem. Rep. ",SUB-SAHARAN AFRICA                 ,62660551,2345410,26.7,0.00
"Congo, Repub. of the ",SUB-SAHARAN AFRICA                 ,3702314,342000,10.8,0.05
Cook Islands ,OCEANIA                            ,21388,240,89.1,50.00
Costa Rica ,LATIN AMER. & CARIB    ,4075261,51100,79.8,2.52
Cote d'Ivoire ,SUB-SAHARAN AFRICA                 ,17654843,322460,54.8,0.16
Croatia ,EASTERN EUROPE                     ,4494749,56542,79.5,10.32
Cuba ,LATIN AMER. & CARIB    ,11382820,110860,102.7,3.37
Cyprus ,NEAR EAST                          ,784301,9250,84.8,7.01
Czech Republic ,EASTERN EUROPE                     ,10235455,78866,129.8,0.00
Denmark ,WESTERN EUROPE                     ,5450661,43094,126.5,16.97
Djibouti ,SUB-SAHARAN AFRICA                 ,486530,23000,21.2,1.37
Dominica ,LATIN AMER. & CARIB    ,68910,754,91.4,19.63
Dominican Republic ,LATIN AMER. & CARIB    ,9183984,48730,188.5,2.64
East Timor ,ASIA (EX. NEAR EAST)         ,1062777,15007,70.8,4.70
Ecuador ,LATIN AMER. & CARIB    ,13547510,283560,47.8,0.79
Egypt ,NORTHERN AFRICA                    ,78887007,1001450,78.8,0.24
El Salvador ,LATIN AMER. & CARIB    ,6822378,21040,324.3,1.46
Equatorial Guinea ,SUB-SAHARAN AFRICA                 ,540109,28051,19.3,1.06
Eritrea ,SUB-SAHARAN AFRICA                 ,4786994,121320,39.5,1.84
Estonia ,BALTICS                            ,1324333,45226,29.3,8.39
Ethiopia ,SUB-SAHARAN AFRICA                 ,74777981,1127127,66.3,0.00
Faroe Islands ,WESTERN EUROPE                     ,47246,1399,33.8,79.84
Fiji ,OCEANIA                            ,905949,18270,49.6,6.18
Finland ,WESTERN EUROPE                     ,5231372,338145,15.5,0.37
France ,WESTERN EUROPE                     ,60876136,547030,111.3,0.63
French Guiana ,LATIN AMER. & CARIB    ,199509,91000,2.2,0.42
French Polynesia ,OCEANIA                            ,274578,4167,65.9,60.60
Gabon ,SUB-SAHARAN AFRICA                 ,1424906,267667,5.3,0.33
"Gambia, The ",SUB-SAHARAN AFRICA                 ,1641564,11300,145.3,0.71
Gaza Strip ,NEAR EAST                          ,1428757,360,3968.8,11.11
Georgia ,C.W. OF IND. STATES ,4661473,69700,66.9,0.44
Germany ,WESTERN EUROPE                     ,82422299,357021,230.9,0.67
Ghana ,SUB-SAHARAN AFRICA                 ,22409572,239460,93.6,0.23
Gibraltar ,WESTERN EUROPE                     ,27928,7,3989.7,171.43
Greece ,WESTERN EUROPE                     ,10688058,131940,81.0,10.37
Greenland ,NORTHERN AMERICA                   ,56361,2166086,0.0,2.04
Grenada ,LATIN AMER. & CARIB    ,89703,344,260.8,35.17
Guadeloupe ,LATIN AMER. & CARIB    ,452776,1780,254.4,17.19
Guam ,OCEANIA                            ,171019,541,316.1,23.20
Guatemala ,LATIN AMER. & CARIB    ,12293545,108890,112.9,0.37
Guernsey ,WESTERN EUROPE                     ,65409,78,838.6,64.10
Guinea ,SUB-SAHARAN AFRICA                 ,9690222,245857,39.4,0.13
Guinea-Bissau ,SUB-SAHARAN AFRICA                 ,1442029,36120,39.9,0.97
Guyana ,LATIN AMER. & CARIB    ,767245,214970,3.6,0.21
Haiti ,LATIN AMER. & CARIB    ,8308504,27750,299.4,6.38
Honduras ,LATIN AMER. & CARIB    ,7326496,112090,65.4,0.73
Hong Kong ,ASIA (EX. NEAR EAST)         ,6940432,1092,6355.7,67.12
Hungary ,EASTERN EUROPE                     ,9981334,93030,107.3,0.00
Iceland ,WESTERN EUROPE                     ,299388,103000,2.9,4.83
India ,ASIA (EX. NEAR EAST)         ,1095351995,3287590,333.2,0.21
Indonesia ,ASIA (EX. NEAR EAST)         ,245452739,1919440,127.9,2.85
Iran ,ASIA (EX. NEAR EAST)         ,68688433,1648000,41.7,0.15
Iraq ,NEAR EAST                          ,26783383,437072,61.3,0.01
Ireland ,WESTERN EUROPE                     ,4062235,70280,57.8,2.06
Isle of Man ,WESTERN EUROPE                     ,75441,572,131.9,27.97
Israel ,NEAR EAST                          ,6352117,20770,305.8,1.31
Italy ,WESTERN EUROPE                     ,58133509,301230,193.0,2.52
Jamaica ,LATIN AMER. & CARIB    ,2758124,10991,250.9,9.30
Japan ,ASIA (EX. NEAR EAST)         ,127463611,377835,337.4,7.87
Jersey ,WESTERN EUROPE                     ,91084,116,785.2,60.34
Jordan ,NEAR EAST                          ,5906760,92300,64.0,0.03
Kazakhstan ,C.W. OF IND. STATES ,15233244,2717300,5.6,0.00
Kenya ,SUB-SAHARAN AFRICA                 ,34707817,582650,59.6,0.09
Kiribati ,OCEANIA                            ,105432,811,130.0,140.94
"Korea, North ",ASIA (EX. NEAR EAST)         ,23113019,120540,191.8,2.07
"Korea, South ",ASIA (EX. NEAR EAST)         ,48846823,98480,496.0,2.45
Kuwait ,NEAR EAST                          ,2418393,17820,135.7,2.80
Kyrgyzstan ,C.W. OF IND. STATES ,5213898,198500,26.3,0.00
Laos ,ASIA (EX. NEAR EAST)         ,6368481,236800,26.9,0.00
Latvia ,BALTICS                            ,2274735,64589,35.2,0.82
Lebanon ,NEAR EAST                          ,3874050,10400,372.5,2.16
Lesotho ,SUB-SAHARAN AFRICA                 ,2022331,30355,66.6,0.00
Liberia ,SUB-SAHARAN AFRICA                 ,3042004,111370,27.3,0.52
Libya ,NORTHERN AFRICA                    ,5900754,1759540,3.4,0.10
Liechtenstein ,WESTERN EUROPE                     ,33987,160,212.4,0.00
Lithuania ,BALTICS                            ,3585906,65200,55.0,0.14
Luxembourg ,WESTERN EUROPE                     ,474413,2586,183.5,0.00
Macau ,ASIA (EX. NEAR EAST)         ,453125,28,16183.0,146.43
Macedonia ,EASTERN EUROPE                     ,2050554,25333,80.9,0.00
Madagascar ,SUB-SAHARAN AFRICA                 ,18595469,587040,31.7,0.82
Malawi ,SUB-SAHARAN AFRICA                 ,13013926,118480,109.8,0.00
Malaysia ,ASIA (EX. NEAR EAST)         ,24385858,329750,74.0,1.42
Maldives ,ASIA (EX. NEAR EAST)         ,359008,300,1196.7,214.67
Mali ,SUB-SAHARAN AFRICA                 ,11716829,1240000,9.5,0.00
Malta ,WESTERN EUROPE                     ,400214,316,1266.5,62.28
Marshall Islands ,OCEANIA                            ,60422,11854,5.1,3.12
Martinique ,LATIN AMER. & CARIB    ,436131,1100,396.5,31.82
Mauritania ,SUB-SAHARAN AFRICA                 ,3177388,1030700,3.1,0.07
Mauritius ,SUB-SAHARAN AFRICA                 ,1240827,2040,608.3,8.68
Mayotte ,SUB-SAHARAN AFRICA                 ,201234,374,538.1,49.52
Mexico ,LATIN AMER. & CARIB    ,107449525,1972550,54.5,0.47
"Micronesia, Fed. St. ",OCEANIA                            ,108004,702,153.9,870.66
Moldova ,C.W. OF IND. STATES ,4466706,33843,132.0,0.00
Monaco ,WESTERN EUROPE                     ,32543,2,16271.5,205.00
Mongolia ,ASIA (EX. NEAR EAST)         ,2832224,1564116,1.8,0.00
Montserrat ,LATIN AMER. & CARIB    ,9439,102,92.5,39.22
Morocco ,NORTHERN AFRICA                    ,33241259,446550,74.4,0.41
Mozambique ,SUB-SAHARAN AFRICA                 ,19686505,801590,24.6,0.31
Namibia ,SUB-SAHARAN AFRICA                 ,2044147,825418,2.5,0.19
Nauru ,OCEANIA                            ,13287,21,632.7,142.86
Nepal ,ASIA (EX. NEAR EAST)         ,28287147,147181,192.2,0.00
Netherlands ,WESTERN EUROPE                     ,16491461,41526,397.1,1.09
Netherlands Antilles ,LATIN AMER. & CARIB    ,221736,960,231.0,37.92
New Caledonia ,OCEANIA                            ,219246,19060,11.5,11.83
New Zealand ,OCEANIA                            ,4076140,268680,15.2,5.63
Nicaragua ,LATIN AMER. & CARIB    ,5570129,129494,43.0,0.70
Niger ,SUB-SAHARAN AFRICA                 ,12525094,1267000,9.9,0.00
Nigeria ,SUB-SAHARAN AFRICA                 ,131859731,923768,142.7,0.09
N. Mariana Islands ,OCEANIA                            ,82459,477,172.9,310.69
Norway ,WESTERN EUROPE                     ,4610820,323802,14.2,7.77
Oman ,NEAR EAST                          ,3102229,212460,14.6,0.98
Pakistan ,ASIA (EX. NEAR EAST)         ,165803560,803940,206.2,0.13
Palau ,OCEANIA                            ,20579,458,44.9,331.66
Panama ,LATIN AMER. & CARIB    ,3191319,78200,40.8,3.18
Papua New Guinea ,OCEANIA                            ,5670544,462840,12.3,1.11
Paraguay ,LATIN AMER. & CARIB    ,6506464,406750,16.0,0.00
Peru ,LATIN AMER. & CARIB    ,28302603,1285220,22.0,0.19
Philippines ,ASIA (EX. NEAR EAST)         ,89468677,300000,298.2,12.10
Poland ,EASTERN EUROPE                     ,38536869,312685,123.3,0.16
Portugal ,WESTERN EUROPE                     ,10605870,92391,114.8,1.94
Puerto Rico ,LATIN AMER. & CARIB    ,3927188,13790,284.8,3.63
Qatar ,NEAR EAST                          ,885359,11437,77.4,4.92
Reunion ,SUB-SAHARAN AFRICA                 ,787584,2517,312.9,8.22
Romania ,EASTERN EUROPE                     ,22303552,237500,93.9,0.09
Russia ,C.W. OF IND. STATES ,142893540,17075200,8.4,0.22
Rwanda ,SUB-SAHARAN AFRICA                 ,8648248,26338,328.4,0.00
Saint Helena ,SUB-SAHARAN AFRICA                 ,7502,413,18.2,14.53
Saint Kitts & Nevis ,LATIN AMER. & CARIB    ,39129,261,149.9,51.72
Saint Lucia ,LATIN AMER. & CARIB    ,168458,616,273.5,25.65
St Pierre & Miquelon ,NORTHERN AMERICA                   ,7026,242,29.0,49.59
Saint Vincent and the Grenadines ,LATIN AMER. & CARIB    ,117848,389,303.0,21.59
Samoa ,OCEANIA                            ,176908,2944,60.1,13.69
San Marino ,WESTERN EUROPE                     ,29251,61,479.5,0.00
Sao Tome & Principe ,SUB-SAHARAN AFRICA                 ,193413,1001,193.2,20.88
Saudi Arabia ,NEAR EAST                          ,27019731,1960582,13.8,0.13
Senegal ,SUB-SAHARAN AFRICA                 ,11987121,196190,61.1,0.27
Serbia ,EASTERN EUROPE                     ,9396411,88361,106.3,0.00
Seychelles ,SUB-SAHARAN AFRICA                 ,81541,455,179.2,107.91
Sierra Leone ,SUB-SAHARAN AFRICA                 ,6005250,71740,83.7,0.56
Singapore ,ASIA (EX. NEAR EAST)         ,4492150,693,6482.2,27.85
Slovakia ,EASTERN EUROPE                     ,5439448,48845,111.4,0.00
Slovenia ,EASTERN EUROPE                     ,2010347,20273,99.2,0.23
Solomon Islands ,OCEANIA                            ,552438,28450,19.4,18.67
Somalia ,SUB-SAHARAN AFRICA                 ,8863338,637657,13.9,0.47
South Africa ,SUB-SAHARAN AFRICA                 ,44187637,1219912,36.2,0.23
Spain ,WESTERN EUROPE                     ,40397842,504782,80.0,0.98
Sri Lanka ,ASIA (EX. NEAR EAST)         ,20222240,65610,308.2,2.04
Sudan ,SUB-SAHARAN AFRICA                 ,41236378,2505810,16.5,0.03
Suriname ,LATIN AMER. & CARIB    ,439117,163270,2.7,0.24
Swaziland ,SUB-SAHARAN AFRICA                 ,1136334,17363,65.5,0.00
Sweden ,WESTERN EUROPE                     ,9016596,449964,20.0,0.72
Switzerland ,WESTERN EUROPE                     ,7523934,41290,182.2,0.00
Syria ,NEAR EAST                          ,18881361,185180,102.0,0.10
Taiwan ,ASIA (EX. NEAR EAST)         ,23036087,35980,640.3,4.35
Tajikistan ,C.W. OF IND. STATES ,7320815,143100,51.2,0.00
Tanzania ,SUB-SAHARAN AFRICA                 ,37445392,945087,39.6,0.15
Thailand ,ASIA (EX. NEAR EAST)         ,64631595,514000,125.7,0.63
Togo ,SUB-SAHARAN AFRICA                 ,5548702,56785,97.7,0.10
Tonga ,OCEANIA                            ,114689,748,153.3,56.02
Trinidad & Tobago ,LATIN AMER. & CARIB    ,1065842,5128,207.9,7.06
Tunisia ,NORTHERN AFRICA                    ,10175014,163610,62.2,0.70
Turkey ,NEAR EAST                          ,70413958,780580,90.2,0.92
Turkmenistan ,C.W. OF IND. STATES ,5042920,488100,10.3,0.00
Turks & Caicos Is ,LATIN AMER. & CARIB    ,21152,430,49.2,90.47
Tuvalu ,OCEANIA                            ,11810,26,454.2,92.31
Uganda ,SUB-SAHARAN AFRICA                 ,28195754,236040,119.5,0.00
Ukraine ,C.W. OF IND. STATES ,46710816,603700,77.4,0.46
United Arab Emirates ,NEAR EAST                          ,2602713,82880,31.4,1.59
United Kingdom ,WESTERN EUROPE                     ,60609153,244820,247.6,5.08
United States ,NORTHERN AMERICA                   ,298444215,9631420,31.0,0.21
Uruguay ,LATIN AMER. & CARIB    ,3431932,176220,19.5,0.37
Uzbekistan ,C.W. OF IND. STATES ,27307134,447400,61.0,0.00
Vanuatu ,OCEANIA                            ,208869,12200,17.1,20.72
Venezuela ,LATIN AMER. & CARIB    ,25730435,912050,28.2,0.31
Vietnam ,ASIA (EX. NEAR EAST)         ,84402966,329560,256.1,1.05
Virgin Islands ,LATIN AMER. & CARIB    ,108605,1910,56.9,9.84
Wallis and Futuna ,OCEANIA                            ,16025,274,58.5,47.08
West Bank ,NEAR EAST                          ,2460492,5860,419.9,0.00
Western Sahara ,NORTHERN AFRICA                    ,273008,266000,1.0,0.42
Yemen ,NEAR EAST                          ,21456188,527970,40.6,0.36
Zambia ,SUB-SAHARAN AFRICA                 ,11502010,752614,15.3,0.00
Zimbabwe ,SUB-SAHARAN AFRICA                 ,12236805,390580,31.3,0.00